,TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SIDO_3,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_COMPANIONS_NUM,trip_day,pre_PAYMENT_load,COMPANION_AGE_avg,PAYMENT_AMT_WON,payment_bin,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,자연,도시,숙박,당일,새로운지역,익숙한지역,편하지만비싼숙소,불편하지만저렴한숙소,휴식,체험활동,알려지지않은여행지,알려진여행지,계획,즉흥,사진중요하지않음,사진중요
35,a004399,8,0,40,6,1,3,1,4,2,2,10,8,7,1,1,6,3,3,0.5,25.0,181700.0,0.0,1,1,1,0,0,0,0,0,0,0,2,0,2,0,3,0,0,2,0,2,0,2,0,3,0,3
36,a001734,8,1,20,6,0,0,2,3,2,3,1,8,7,1,12,1,1,2,0.3,20.0,264927.0,0.0,1,1,0,0,0,0,1,0,0,0,2,0,2,0,2,0,0,1,0,1,2,0,0,2,0,0
37,a006816,0,1,30,6,0,1,2,2,2,4,8,9,14,8,1,1,0,1,0.5,30.0,47000.0,0.0,0,1,0,0,0,0,1,1,0,0,3,0,3,0,3,0,0,1,0,1,0,0,2,0,0,2
38,a015175,16,0,50,2,1,3,3,2,2,5,0,8,1,14,9,4,0,2,0.5,50.0,410300.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,2
39,a003712,3,0,40,7,1,4,1,4,1,0,8,7,9,11,1,6,4,2,0.0,20.0,154190.0,0.0,1,1,1,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,2,0,0,0
40,a006014,0,1,60,6,0,3,3,3,1,0,7,11,10,8,1,2,6,1,0.5,45.0,145000.0,0.0,1,0,0,0,1,0,1,0,0,0,2,0,0,2,3,0,1,0,0,0,2,0,0,2,0,3
41,a000550,1,0,40,8,1,1,1,5,3,0,15,1,0,7,9,0,1,3,0.5,45.0,465073.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,2,0
42,a002197,11,1,30,7,1,1,1,4,1,0,0,5,1,15,9,4,0,2,0.8,30.0,400200.0,0.0,0,0,0,1,0,0,1,1,0,0,0,3,3,0,3,0,3,0,3,0,0,3,3,0,3,0
43,a018130,0,1,30,6,0,0,3,2,1,0,15,15,1,8,1,1,1,1,0.5,35.0,48000.0,0.0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
44,a003028,8,1,30,6,3,1,2,3,1,0,7,10,15,1,1,6,1,1,0.5,5.0,69700.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
