TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
b_b012529,소금산그랜드밸리,강원,원주시,1.0,5.0,4.0,5.0,120.0,0,b012529,21,남,40,5,2,2,1,6,7,4,6,2,3,2,2
b_b012529,뮤지엄산,강원,원주시,3.0,5.0,4.0,5.0,210.0,0,b012529,21,남,40,5,2,2,1,6,7,4,6,2,3,2,2
b_b011297,안목해변,강원,강릉시,1.0,4.0,4.0,4.0,30.0,1,b011297,4,남,50,5,2,6,6,6,4,6,6,4,3,6,1
b_b008586,속초관광수산시장,강원,속초시,4.0,4.0,4.0,3.0,30.0,1,b008586,3,여,30,2,2,2,1,2,6,4,5,3,3,1,1
b_b008586,속초해수욕장,강원,속초시,1.0,4.0,4.0,4.0,60.0,0,b008586,3,여,30,2,2,2,1,2,6,4,5,3,3,1,1
b_b008586,신흥사,강원,속초시,2.0,4.0,4.0,4.0,30.0,0,b008586,3,여,30,2,2,2,1,2,6,4,5,3,3,1,1
b_b002129,아야진해수욕장,강원,고성군,1.0,4.0,4.0,4.0,60.0,0,b002129,24,여,20,3,3,3,3,2,2,5,3,5,2,2,3
b_b002129,속초관광수산시장,강원,속초시,4.0,4.0,3.0,4.0,30.0,0,b002129,24,여,20,3,3,3,3,2,2,5,3,5,2,2,3
b_b012662,등대해수욕장,강원,속초시,1.0,5.0,4.0,4.0,60.0,0,b012662,23,남,20,12,3,2,2,5,4,3,5,3,4,8,0
b_b015763,비발디파크,강원,홍천군,6.0,3.0,3.0,3.0,30.0,1,b015763,2,여,30,4,2,2,3,4,3,4,4,4,3,5,3
b_b000533,속초관광수산시장,강원,속초시,4.0,5.0,5.0,5.0,90.0,0,b000533,22,남,20,7,6,1,1,6,6,7,1,5,1,2,0
b_b000533,서피비치,강원,양양군,5.0,5.0,5.0,5.0,30.0,0,b000533,22,남,20,7,6,1,1,6,6,7,1,5,1,2,0
b_b000533,속초아이,강원,속초시,6.0,5.0,5.0,5.0,30.0,0,b000533,22,남,20,7,6,1,1,6,6,7,1,5,1,2,0
b_b011815,국립경주박물관,경북,경주시,2.0,5.0,5.0,5.0,90.0,0,b011815,3,여,30,3,1,4,3,5,5,5,5,5,8,6,3
b_b011815,동궁과월지,경북,경주시,2.0,4.0,5.0,5.0,90.0,1,b011815,3,여,30,3,1,4,3,5,5,5,5,5,8,6,3
b_b011815,불국사,경북,경주시,2.0,5.0,5.0,5.0,240.0,1,b011815,3,여,30,3,1,4,3,5,5,5,5,5,8,6,3
b_b007258,첨성대,경북,경주시,2.0,5.0,5.0,5.0,30.0,0,b007258,2,남,30,4,2,4,2,4,6,2,4,6,7,3,1
b_b007258,월정교,경북,경주시,2.0,5.0,5.0,5.0,30.0,0,b007258,2,남,30,4,2,4,2,4,6,2,4,6,7,3,1
b_b007258,동궁과월지,경북,경주시,2.0,5.0,5.0,5.0,30.0,0,b007258,2,남,30,4,2,4,2,4,6,2,4,6,7,3,1
b_b007258,경주월드,경북,경주시,6.0,5.0,5.0,5.0,180.0,0,b007258,2,남,30,4,2,4,2,4,6,2,4,6,7,3,1
b_b000442,순긋해변,강원,강릉시,1.0,5.0,4.0,5.0,60.0,0,b000442,22,여,20,4,2,7,2,2,4,4,7,6,3,5,3
b_b006464,부산시립미술관,부산,해운대구,3.0,4.0,3.0,3.0,90.0,1,b006464,6,남,40,5,4,3,3,3,2,3,4,4,1,2,0
b_b009924,속초관광수산시장,강원,속초시,4.0,4.0,4.0,3.0,30.0,0,b009924,23,남,20,3,1,1,1,5,2,2,6,7,4,2,1
b_b009924,등대해수욕장,강원,속초시,1.0,4.0,4.0,3.0,30.0,0,b009924,23,남,20,3,1,1,1,5,2,2,6,7,4,2,1
b_b009924,영금정,강원,속초시,1.0,5.0,3.0,4.0,30.0,0,b009924,23,남,20,3,1,1,1,5,2,2,6,7,4,2,1
b_b009301,벡스코 제2전시장,부산,해운대구,3.0,4.0,4.0,4.0,90.0,0,b009301,6,여,20,3,6,5,3,3,4,6,3,5,7,5,2
b_b009301,라이언 홀리데이 인 부산,부산,해운대구,3.0,4.0,4.0,4.0,180.0,0,b009301,6,여,20,3,6,5,3,3,4,6,3,5,7,5,2
b_b004949,남이섬,강원,춘천시,1.0,5.0,5.0,5.0,60.0,1,b004949,21,여,40,4,1,1,1,1,1,4,7,7,3,2,3
b_b004949,남이섬,강원,춘천시,1.0,4.0,5.0,5.0,120.0,1,b004949,21,여,40,4,1,1,1,1,1,4,7,7,3,2,3
b_b015843,주문진수산물 좌판풍물시장,강원,강릉시,4.0,5.0,5.0,5.0,30.0,1,b015843,1,남,30,7,1,1,1,4,4,1,1,4,1,1,1
b_b006845,소양강스카이워크,강원,춘천시,3.0,5.0,5.0,5.0,90.0,0,b006845,22,여,30,1,1,1,1,4,4,1,6,7,5,4,2
b_b014492,법기수원지,경남,양산시,1.0,5.0,5.0,5.0,60.0,0,b014492,21,남,30,6,2,1,2,5,6,2,2,5,2,2,1
b_b007242,장생포고래박물관,울산,남구,2.0,5.0,5.0,4.0,30.0,1,b007242,2,남,30,5,4,4,2,4,1,6,5,2,3,1,2
b_b004001,휘닉스평창 블루캐니언,강원,평창군,6.0,5.0,5.0,4.0,210.0,1,b004001,2,남,40,6,1,1,4,6,6,7,1,4,3,1,3
b_b011604,고석정,강원,철원군,2.0,4.0,3.0,3.0,30.0,0,b011604,28,여,30,5,3,2,2,3,3,4,2,2,3,4,1
b_b000725,속초관광수산시장,강원,속초시,4.0,4.0,3.0,3.0,90.0,1,b000725,23,남,30,5,4,2,6,4,1,3,6,6,3,3,4
b_b000643,강릉중앙시장,강원,강릉시,4.0,3.0,3.0,3.0,120.0,0,b000643,12,여,30,3,4,3,3,1,4,4,7,3,3,3,3
b_b000643,경포해수욕장,강원,강릉시,1.0,4.0,4.0,4.0,300.0,0,b000643,12,여,30,3,4,3,3,1,4,4,7,3,3,3,3
b_b009272,송이버섯마을,강원,양양군,7.0,5.0,5.0,5.0,60.0,0,b009272,28,남,40,3,3,4,2,2,3,5,2,5,1,5,1
b_b009272,강문해변,강원,강릉시,1.0,5.0,4.0,5.0,30.0,0,b009272,28,남,40,3,3,4,2,2,3,5,2,5,1,5,1
b_b009272,안목해변,강원,강릉시,1.0,5.0,4.0,5.0,30.0,0,b009272,28,남,40,3,3,4,2,2,3,5,2,5,1,5,1
b_b009272,설악산,강원,양양군,1.0,4.0,4.0,4.0,210.0,1,b009272,28,남,40,3,3,4,2,2,3,5,2,5,1,5,1
b_b014854,강문해변,강원,강릉시,1.0,4.0,4.0,5.0,30.0,0,b014854,23,여,20,3,6,2,2,1,2,2,2,2,1,1,3
b_b014854,안목해변,강원,강릉시,1.0,5.0,4.0,4.0,60.0,0,b014854,23,여,20,3,6,2,2,1,2,2,2,2,1,1,3
