SIDO,VISIT_AREA_NM,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
대구,롯데백화점 대구점,북구,4.0,54.0,3.6,0.2,0.6,3.4
경북,관봉석조여래좌상,경산시,2.0,132.0,5.0,0.2,1.2,5.0
경남,수로왕릉,김해시,2.0,33.0,4.4,0.4,1.5,4.3
경북,임고서원,영천시,2.0,54.0,3.8,0.0,1.2,3.4
강원,소노벨비발디파크,홍천군,6.0,80.0,3.8333333333333335,0.5,7.166666666666667,4.0
경남,합천영상테마파크,합천군,6.0,95.0,4.666666666666667,0.3333333333333333,1.0,4.0
강원,설악산,양양군,1.0,150.0,4.2,0.6,4.2,4.2
울산,태화강국가정원 십리대숲,중구,1.0,53.333333333333336,4.666666666666667,0.1111111111111111,1.1111111111111112,4.555555555555555
경남,연지공원,김해시,1.0,54.0,5.0,0.8,1.2,5.0
경북,경주핑크뮬리군락지,경주시,1.0,35.0,4.166666666666667,0.1666666666666666,1.1666666666666667,4.0
강원,고석정꽃밭,철원군,8.0,68.57142857142857,3.857142857142857,0.1428571428571428,1.5714285714285714,3.857142857142857
경남,영남루,밀양시,2.0,42.0,4.6,0.6,1.4,4.2
경남,황매산군립공원,합천군,1.0,102.0,5.0,0.4,0.8,5.0
경북,만휴정,안동시,2.0,40.0,4.0,0.0,1.3333333333333333,3.1666666666666665
강원,장릉,영월군,2.0,70.0,4.5,0.0,2.1666666666666665,4.166666666666667
경남,진주남강유등축제,진주시,8.0,133.84615384615384,4.307692307692308,0.1538461538461538,1.0,3.923076923076923
강원,소금산출렁다리,원주시,1.0,105.0,4.5,0.1666666666666666,0.6666666666666666,4.166666666666667
경남,경상남도수목원,진주시,1.0,102.0,5.0,0.6,1.2,5.0
