TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
b_b003830,2,여,20,4,2,2,2,3,5,3,2,6,3,2,1,['경북+포항시']
b_b005953,23,여,20,3,2,1,4,3,3,4,5,3,9,2,1,['강원+강릉시']
b_b007943,3,남,30,4,3,1,2,5,3,5,3,4,7,3,0,['경남+양산시']
b_b004877,1,남,30,4,6,2,5,3,6,6,1,2,3,7,1,['강원+속초시']
b_b001105,5,남,30,6,3,2,2,2,6,6,6,2,3,3,1,"['강원+양양군', '강원+강릉시']"
b_b011244,23,여,30,4,4,4,6,2,3,4,6,7,3,8,1,"['울산+울주군', '부산+기장군']"
b_b000748,21,남,30,8,7,2,6,1,1,2,3,5,1,1,7,['강원+삼척시']
b_b014509,12,여,50,2,2,3,3,2,3,5,3,5,2,4,1,['강원+춘천시']
b_b007249,9,여,20,1,6,7,4,3,5,6,2,7,10,1,0,['부산+해운대구']
b_b008443,9,여,40,1,4,4,2,6,5,4,3,6,3,2,3,['경남+진주시']
b_b014469,2,여,20,1,3,5,4,4,5,3,4,5,8,1,0,['경북+경주시']
b_b003867,6,여,30,4,1,3,2,5,4,3,3,3,7,1,1,['강원+춘천시']
b_b009969,2,남,30,5,3,5,6,6,7,6,5,5,3,1,1,"['경북+포항시', '경북+경주시']"
b_b016460,1,남,30,4,5,1,3,1,1,3,1,3,1,1,1,"['부산+동구', '부산+중구']"
b_b001784,5,남,30,2,2,1,1,1,1,1,4,4,3,2,1,"['강원+속초시', '강원+강릉시']"
b_b004649,23,남,30,5,1,2,4,4,4,4,5,4,9,5,1,['경북+경주시']
b_b004494,2,여,20,1,4,1,2,2,3,5,3,7,3,3,1,"['대구+동구', '대구+중구']"
b_b001467,8,여,40,6,7,1,4,2,3,7,6,5,2,2,3,['강원+양양군']
b_b018488,3,여,30,6,5,2,2,5,6,6,3,6,3,2,2,"['경북+문경시', '경북+칠곡군']"
b_b000191,21,남,50,12,4,5,3,4,5,5,3,3,1,4,1,"['강원+춘천시', '강원+강릉시']"
b_b015455,22,여,20,2,4,2,2,3,3,6,3,7,1,3,1,['부산+수영구']
b_b011579,26,여,50,8,1,1,1,2,1,2,2,1,1,6,2,['강원+철원군']
b_b012548,3,여,20,3,3,2,3,2,4,6,6,5,1,2,1,['경북+경주시']
b_b014175,22,여,20,4,7,7,3,6,4,5,7,3,7,4,0,"['부산+해운대구', '부산+기장군']"
b_b012543,4,여,30,3,1,1,4,1,1,2,2,6,1,1,0,['부산+해운대구']
b_b004653,1,여,30,3,2,4,1,1,1,1,6,6,9,2,1,['부산+기장군']
b_b010848,3,남,20,1,2,1,2,2,4,2,1,3,3,1,1,['경북+경주시']
b_b005029,22,남,20,3,2,2,2,7,2,1,5,7,3,1,2,"['부산+해운대구', '부산+수영구', '부산+중구']"
b_b002527,22,남,20,1,4,3,1,6,4,3,5,5,1,2,1,"['부산+해운대구', '부산+중구', '부산+사하구', '부산+부산진구', '부산+기장군']"
b_b004953,1,여,30,4,4,3,3,5,6,6,2,4,3,2,3,['경북+포항시']
b_b006305,3,남,40,6,1,6,1,4,4,6,2,6,1,1,1,['경북+경주시']
b_b011846,22,여,30,4,1,4,4,4,1,4,3,5,2,2,1,['경남+합천군']
b_b005082,2,여,30,5,5,3,6,4,5,3,3,3,1,2,2,"['부산+해운대구', '부산+중구']"
b_b006481,9,여,30,4,2,2,1,3,6,4,6,5,1,1,0,['강원+강릉시']
b_b004361,3,여,30,2,4,3,3,1,4,5,5,5,1,1,1,['경북+경주시']
b_b015567,22,남,20,2,2,2,4,1,1,4,7,6,2,3,1,['강원+춘천시']
b_b011737,21,여,40,5,4,3,2,5,4,3,2,6,6,5,2,['울산+동구']
b_b003748,2,여,50,3,1,1,1,1,1,1,6,4,2,2,2,"['울산+중구', '울산+남구', '울산+울주군']"
b_b006780,9,여,30,4,3,3,2,4,6,3,1,7,1,2,0,['경남+진주시']
b_b009932,3,여,20,4,2,1,4,2,6,5,2,6,2,1,1,['경북+경주시']
b_b004239,26,여,30,7,2,4,2,2,2,3,3,2,3,5,1,['강원+고성군']
b_b005784,6,여,20,1,3,2,2,3,3,4,3,6,3,4,1,"['울산+동구', '울산+남구', '울산+울주군']"
b_b003860,3,남,30,10,1,3,2,2,3,2,4,5,3,1,1,['강원+강릉시']
b_b007636,2,남,30,7,2,1,2,1,3,4,2,1,3,1,2,['강원+춘천시']
b_b011617,4,남,40,10,4,2,2,2,6,5,6,6,2,4,1,['부산+해운대구']
b_b007664,2,여,20,1,7,1,5,2,6,5,5,3,1,2,0,['경북+경주시']
b_b005062,5,여,20,3,1,2,1,7,6,6,6,7,7,1,3,['강원+양양군']
b_b001604,6,여,40,6,4,4,1,1,4,6,4,3,2,1,1,['경북+경주시']
b_b000037,2,남,20,1,3,3,2,3,4,3,2,5,3,7,12,"['경북+경주시', '경북+청도군']"
b_b007544,2,여,50,1,6,2,2,6,6,2,6,6,5,1,0,['부산+기장군']
b_b008584,22,남,20,3,3,3,1,6,7,1,7,7,1,2,5,"['부산+해운대구', '부산+영도구']"
b_b000194,23,남,40,6,2,2,3,2,2,3,3,3,2,2,3,"['부산+해운대구', '부산+기장군']"
b_b005975,21,여,30,4,2,4,2,3,5,6,3,6,9,4,3,"['강원+원주시', '강원+양양군']"
b_b007785,23,여,40,1,2,2,6,2,2,6,6,5,1,1,3,['강원+춘천시']
b_b006336,2,여,30,1,4,4,4,4,4,4,4,4,1,1,2,['경남+창원시']
b_b011174,1,여,20,4,2,4,1,3,5,2,7,7,1,2,3,['대구+동구']
b_b000109,3,남,20,1,4,1,2,1,3,4,5,3,3,1,3,"['경북+문경시', '경북+경주시']"
b_b009457,12,남,40,3,1,4,1,2,2,2,1,7,6,4,3,['경북+포항시']
b_b015631,12,여,30,4,4,1,1,5,6,3,1,7,5,2,1,['경남+합천군']
b_b003825,22,남,30,5,1,1,2,4,5,5,3,5,1,2,1,['대구+중구']
b_b002533,23,여,20,5,3,2,2,2,3,2,2,6,2,2,1,"['경북+포항시', '경북+경주시']"
b_b004624,24,여,20,4,3,2,1,6,5,3,2,3,3,1,1,['강원+속초시']
b_b006126,1,남,30,5,1,1,4,1,4,4,1,5,1,6,1,"['강원+동해시', '강원+강릉시']"
b_b005920,4,남,20,5,7,1,1,1,1,7,1,1,4,4,0,"['부산+해운대구', '부산+수영구']"
b_b011043,6,여,40,6,1,1,1,1,4,4,1,7,7,1,2,['강원+원주시']
b_b000802,22,남,30,4,7,1,1,1,1,1,1,7,9,1,2,['부산+기장군']
b_b013679,1,여,60,6,1,3,1,1,5,1,2,6,6,2,1,['경북+포항시']
b_b015237,1,여,30,3,5,4,5,2,2,5,7,3,3,1,1,['부산+기장군']
b_b011435,9,여,20,4,4,5,1,2,4,6,2,7,8,1,2,['경남+진주시']
b_b009302,23,남,20,5,1,1,3,1,1,5,1,3,3,4,1,['강원+속초시']
b_b011002,21,여,30,4,3,3,3,3,5,4,3,5,4,4,0,['강원+춘천시']
b_b008228,3,여,20,4,4,1,3,3,5,4,2,7,7,1,2,['경북+경주시']
b_b002862,2,여,30,7,5,2,5,1,4,6,2,4,3,6,7,['강원+고성군']
b_b008256,2,남,20,4,1,1,1,7,4,7,1,7,1,3,0,['경북+경주시']
b_b015736,1,여,40,1,4,5,5,4,5,5,4,5,2,4,5,['강원+평창군']
b_b004420,28,여,30,2,1,6,5,1,1,6,6,3,1,3,0,['부산+기장군']
b_b015983,2,남,20,1,4,3,3,3,5,5,3,6,3,2,1,['경북+경주시']
b_b002777,23,남,20,6,1,1,1,4,2,3,4,5,2,2,1,['강원+강릉시']
b_b006935,6,여,60,6,3,4,4,2,4,4,3,6,1,1,2,"['강원+춘천시', '강원+양구군']"
b_b011566,10,남,30,6,2,2,4,2,1,6,6,2,3,5,2,['울산+울주군']
b_b006289,24,남,30,6,2,7,4,2,2,2,2,2,4,3,1,['경남+양산시']
b_b009602,28,여,30,4,2,1,2,2,6,2,7,2,6,3,0,['경북+청송군']
b_b011555,22,여,20,3,3,2,1,6,2,4,3,5,5,2,3,['강원+강릉시']
c_c002219,3,여,30,8,5,5,3,4,3,5,3,5,2,2,1,['경남+밀양시']
b_b009520,2,여,20,3,2,1,1,2,3,6,2,2,1,1,1,['울산+중구']
b_b006157,9,남,20,4,3,2,2,5,2,2,5,5,2,2,1,['강원+강릉시']
b_b004918,3,여,20,4,3,2,2,6,6,2,7,2,2,2,1,['강원+속초시']
b_b005822,1,여,20,4,4,2,2,2,4,5,5,6,3,4,1,['부산+기장군']
a_a011440,24,여,50,1,1,7,3,4,1,6,1,5,1,2,0,['강원+원주시']
b_b001232,3,여,20,4,2,2,5,2,2,2,2,4,1,3,0,['경남+하동군']
a_a000193,2,여,20,3,2,6,2,6,2,6,6,2,2,2,1,['강원+강릉시']
b_b008164,22,남,30,7,2,2,2,2,2,5,3,6,3,1,1,['강원+속초시']
b_b001045,2,여,30,4,2,2,2,2,4,4,6,2,2,2,1,['강원+홍천군']
b_b005402,22,여,20,4,1,1,2,1,1,6,5,6,2,5,3,['강원+강릉시']
b_b010124,2,남,30,5,2,2,2,2,2,2,1,4,1,1,1,['강원+속초시']
b_b018608,21,여,40,3,1,7,7,1,4,7,4,6,2,4,1,['경북+청도군']
b_b010889,6,여,50,4,5,3,4,5,4,5,3,5,3,1,1,"['부산+수영구', '부산+기장군', '부산+해운대구']"
b_b001744,7,남,20,3,1,1,1,2,2,2,2,5,3,2,7,['경북+포항시']
b_b014349,22,여,20,4,2,2,2,4,5,4,6,6,1,1,1,['경북+경주시']
b_b015290,21,남,30,1,5,3,2,5,5,3,3,4,2,1,1,['강원+춘천시']
b_b006606,6,여,40,4,2,2,3,4,6,3,6,7,7,3,1,"['강원+정선군', '강원+영월군']"
b_b008079,9,여,20,4,6,4,2,7,7,5,6,7,3,2,1,['부산+수영구']
b_b018751,2,여,20,2,3,1,1,4,4,4,5,7,2,1,1,['대구+중구']
b_b011250,3,남,30,4,2,3,2,6,6,2,6,6,2,1,1,['부산+중구']
b_b011338,1,남,50,4,2,6,5,2,2,6,6,6,8,1,1,['경남+양산시']
b_b006008,1,남,30,12,3,3,5,3,4,5,2,6,1,1,3,['경북+영주시']
b_b008020,1,남,30,4,2,2,3,2,2,6,5,6,1,4,1,['경북+경주시']
b_b007729,6,여,50,4,3,5,5,2,2,6,6,5,1,1,0,['경북+경주시']
b_b006423,2,여,30,5,2,2,1,6,6,1,1,7,7,1,1,['강원+춘천시']
b_b006787,2,여,20,2,3,1,1,3,6,4,1,7,1,3,1,['대구+달서구']
b_b012553,3,여,20,2,3,3,2,5,5,5,3,3,1,1,1,['경북+경주시']
b_b005041,22,여,20,2,2,2,1,4,6,6,1,6,2,2,1,['강원+춘천시']
b_b007174,9,여,50,2,4,4,4,4,4,4,4,4,2,1,1,['경남+양산시']
b_b007627,6,여,30,5,3,3,3,3,3,2,5,2,7,1,3,['부산+사하구']
b_b007930,28,남,60,5,2,3,4,4,5,4,3,5,2,2,4,"['강원+속초시', '강원+양양군']"
b_b005151,1,남,50,4,5,6,5,4,4,3,5,3,3,3,4,"['강원+고성군', '강원+속초시']"
b_b011476,22,남,30,4,4,3,2,2,3,2,6,6,5,4,0,"['강원+속초시', '강원+강릉시']"
b_b008186,27,여,30,4,5,4,4,5,4,4,4,2,3,2,1,['강원+양양군']
b_b004475,27,여,40,5,4,2,2,3,5,5,3,2,7,5,5,['울산+중구']
b_b006346,5,남,40,5,1,4,1,5,2,2,6,2,1,1,3,['경남+창원시']
b_b006986,8,여,30,5,2,2,2,1,5,1,1,5,2,4,0,['강원+정선군']
b_b001856,5,남,20,2,6,1,2,4,4,6,2,7,7,3,0,['강원+양양군']
b_b002541,6,여,20,4,1,4,2,6,5,6,2,1,3,5,3,"['울산+중구', '울산+남구']"
b_b011861,3,여,60,3,1,7,2,1,1,7,2,3,8,1,0,['강원+춘천시']
b_b006420,4,남,30,8,3,2,4,1,2,6,1,6,3,1,2,['경북+포항시']
b_b011045,2,남,40,8,5,2,1,4,5,5,2,5,10,1,2,['강원+춘천시']
b_b010926,9,여,20,2,3,6,5,5,3,5,3,6,1,2,0,['경남+진주시']
b_b005055,23,여,30,3,2,2,2,2,2,5,2,5,1,3,0,['부산+해운대구']
b_b000960,22,남,20,3,5,3,2,2,2,6,6,7,5,2,1,"['부산+해운대구', '부산+수영구', '부산+기장군']"
